"id","occasion","x"
1,1,27.4315930943195
1,2,53.2779832565552
1,3,69.8506355749079
1,4,83.8258999517941
1,5,85.3410060892086
1,6,95.3883661994892
1,7,100.632193128621
1,8,102.734172958032
1,9,111.314432775123
1,10,108.764241445049
1,11,105.527562182831
1,12,121.019116126977
1,13,121.594095596396
1,14,122.952447463797
1,15,111.011229463051
1,16,106.362323765352
1,17,115.193910308597
1,18,114.2446282207
1,19,107.224039668736
1,20,108.270900601772
2,1,26.0045084307014
2,2,29.2262935486179
2,3,47.7299621129255
2,4,59.7156195042656
2,5,63.2833408587086
2,6,77.4567239302994
2,7,67.9643870859284
2,8,80.1937010836214
2,9,78.7241198767782
2,10,87.5594011091635
2,11,91.7622989097779
2,12,88.3180696476427
2,13,90.2552274735123
2,14,92.2665212978687
2,15,92.5202902621207
2,16,93.2812425112272
2,17,98.7629426354219
2,18,93.4112970039788
2,19,85.419577117427
2,20,99.6916598533764
3,1,32.8779317365523
3,2,46.2563131486225
3,3,51.0696677948724
3,4,63.0242575524626
3,5,67.5685661834482
3,6,79.2113441147918
3,7,80.5929649340794
3,8,94.526844382373
3,9,101.531127398659
3,10,104.351783969377
3,11,104.807138357227
3,12,99.2618805200561
3,13,108.026007622153
3,14,96.0347856816873
3,15,107.341364820409
3,16,103.283427509084
3,17,108.898621954256
3,18,112.815247645121
3,19,97.2353952616832
3,20,103.387619662867
4,1,29.4204640098619
4,2,41.2359359017675
4,3,46.0620224545964
4,4,64.0781349644641
4,5,59.9005102003999
4,6,67.6508103040458
4,7,63.2247162688657
4,8,67.9166613016959
4,9,69.2409360232726
4,10,88.0215300827621
4,11,82.3640074347215
4,12,87.862560623794
4,13,98.9251985697677
4,14,93.1323892453501
4,15,105.597554398468
4,16,84.8873860059504
4,17,94.6380544124106
4,18,92.5539382118619
4,19,103.05639298738
4,20,109.365543744958
5,1,8.79899148763784
5,2,8.6575363336972
5,3,34.5955750997029
5,4,35.6674307374387
5,5,42.7850662781347
5,6,56.719323523492
5,7,49.411463475608
5,8,57.7654910912976
5,9,56.8328328632955
5,10,65.1680526841678
5,11,71.2720599967655
5,12,75.5392342097392
5,13,78.3415885940523
5,14,74.6689964484964
5,15,80.983881971864
5,16,80.0312852607159
5,17,82.9561327224667
5,18,78.297331806884
5,19,84.6089513390285
5,20,87.7183048233758
6,1,28.6076345799547
6,2,52.9811577831863
6,3,63.9821333221238
6,4,79.2135038798188
6,5,81.5528588409192
6,6,90.755209850481
6,7,90.4414009024805
6,8,94.5743047831994
6,9,97.4864781435088
6,10,108.498702033359
6,11,100.643323820763
6,12,107.414116628253
6,13,103.7874180763
6,14,104.46752161067
6,15,107.93976068423
6,16,101.143404559873
6,17,101.374737071129
6,18,112.613802551231
6,19,110.904962504787
6,20,100.234686053717
7,1,16.7624427999049
7,2,33.5196846938941
7,3,40.8423484408527
7,4,50.1443163401152
7,5,57.0656621268045
7,6,65.6733438985776
7,7,70.4286435500994
7,8,70.66760335575
7,9,87.294355571358
7,10,82.0774657269492
7,11,75.514056506114
7,12,93.7203898278145
7,13,88.9847813623683
7,14,93.5682625768495
7,15,92.4993858921703
7,16,85.0482335536587
7,17,85.5301033964657
7,18,87.8685505601986
7,19,91.0491757088836
7,20,89.947074397145
8,1,22.2860015148763
8,2,26.5338079751105
8,3,32.8109141310605
8,4,48.0569194546773
8,5,51.047341128649
8,6,59.4318924611786
8,7,46.07740805737
8,8,58.99204830359
8,9,63.4455727404939
8,10,68.3722237655998
8,11,76.0488926923372
8,12,77.8814505459993
8,13,77.0946394428431
8,14,77.7296555743628
8,15,88.6630239260468
8,16,81.0957179699284
8,17,84.8441688734746
8,18,89.8225817875785
8,19,82.4761781541095
8,20,85.2423063102948
9,1,-4.75081352337091
9,2,8.41081172510423
9,3,15.71830367018
9,4,19.3220173589108
9,5,28.8631014865244
9,6,43.9402151086216
9,7,41.870740649011
9,8,49.8449439079084
9,9,47.1186626892918
9,10,55.7468668755598
9,11,58.0224459991873
9,12,60.6381443785219
9,13,54.2263022463727
9,14,63.9063164181628
9,15,63.418470105065
9,16,62.1859522745714
9,17,72.3326917006165
9,18,65.4074224397411
9,19,65.9539472212474
9,20,71.6222526549458
10,1,43.5179296234937
10,2,48.2655337489232
10,3,42.0112293282992
10,4,55.361217074991
10,5,59.515993069231
10,6,67.50331967111
10,7,67.0239258463767
10,8,73.6999158667287
10,9,81.3096819923116
10,10,81.0038141297716
10,11,73.7891942428134
10,12,76.9314665563048
10,13,85.6550345938535
10,14,87.3852502010449
10,15,94.2107873763426
10,16,87.8544585742725
10,17,102.247531192588
10,18,105.790092137442
10,19,104.433068111979
10,20,104.651216343921
